cat_code,category1,category2,category3,category4,std_6,growth_rate_6,std_12,growth_rate_12,std_24,growth_rate_24,std_36,growth_rate_36,analyze_date,
50004673,식품,축산물,축산가공식품,햄,17.242822627875874,-1.531440174358975,16.131019003518187,-0.2784690301374538,16.174225158540736,-0.038821511362423906,15.516896373568795,-0.011444083529579072,2023-07-13,
50004673,식품,통조림/캔,햄,,17.242822627875874,-1.531440174358975,16.131019003518187,-0.2784690301374538,16.174225158540736,-0.038821511362423906,15.516896373568795,-0.011444083529579072,2023-07-13,
50007272,여가/생활편의,국내여행/체험,공연/티켓,국악/전통예술,19.297978259732073,0.47916666666666796,21.26934667484929,-0.7608609169299064,18.954770154055055,-0.07841083559159287,20.13527696126598,0.18310082329977395,2023-07-13,
50007265,여가/생활편의,국내여행/체험,공연/티켓,뮤지컬,16.462283280037685,-1.5800650051282044,17.106468790487853,0.4439856339110399,18.388836083546796,0.4425062601621681,23.009250498237765,0.4504548083640215,2023-07-13,
50007271,여가/생활편의,국내여행/체험,공연/티켓,발레/무용,19.80525731685778,-1.0726943965811964,26.568172773458347,-0.33871447323486714,23.07679773663707,0.04890132748319649,19.883232034652547,0.12771798685021576,2023-07-13,
50007273,여가/생활편의,국내여행/체험,공연/티켓,스포츠,23.031290417882317,0.8213204717948729,21.96729392444306,0.16607022795184856,17.606415494047337,0.0039327916355490974,16.292338685117485,0.11894560814591204,2023-07-13,
50007267,여가/생활편의,국내여행/체험,공연/티켓,연극,14.101545262842127,-1.1694384136752138,12.642122843158461,-0.21135679970972404,15.503347565579729,0.30119456518723997,19.121717813302702,0.34692289687218475,2023-07-13,
50007270,여가/생활편의,국내여행/체험,공연/티켓,오페라,22.81272565716143,1.1984599999999996,16.818881659042507,0.4354471233174121,12.633866405653878,0.11903579752628318,9.868918204031843,0.014859241236853888,2023-07-13,
50007270,여가/생활편의,국내여행/체험,공연/티켓,클래식/오페라,22.81272565716143,1.1984599999999996,16.818881659042507,0.4354471233174121,12.633866405653878,0.11903579752628318,9.868918204031843,0.014859241236853888,2023-07-13,
50007268,여가/생활편의,국내여행/체험,공연/티켓,전시/행사,16.90835800447079,-1.533836827350427,17.303045418749793,0.3834182818236151,18.690968960177855,0.4788252125786836,21.075953806892638,0.4057130820913215,2023-07-13,
50007266,여가/생활편의,국내여행/체험,공연/티켓,콘서트,18.361062641565727,2.1087487111111125,15.831993002423266,-0.34469213011184147,20.59750304770304,0.16801680465165902,20.283971221457954,0.2256003007380949,2023-07-13,
50007269,여가/생활편의,국내여행/체험,공연/티켓,클래식,11.262885754596741,0.35548548376068534,10.981277748139519,-0.23136479680696603,15.900888775706152,0.28409452315160577,21.458127047396115,0.3865181785019994,2023-07-13,
50007254,여가/생활편의,국내여행/체험,국내숙박,,11.0709985977547,-0.7673476683760672,13.28964443819532,-0.43084792751643425,12.387962802941814,-0.06526606652085781,17.607821424200242,0.2030779457413348,2023-07-13,
50007253,여가/생활편의,국내여행/체험,국내패키지/기타,,13.9619740084701,-1.1147247931623927,13.806133204162565,-0.10088466831725382,14.762501636953758,0.1847227970767099,20.939572992324706,0.34506220775710844,2023-07-13,
50007284,여가/생활편의,국내여행/체험,액티비티,기타레저이용권,19.415400685694603,-1.218651039316239,18.460395125346192,-0.706398628447025,15.061266904081036,0.05694394404139562,15.102381828762573,0.15617970265998637,2023-07-13,
50007277,여가/생활편의,국내여행/체험,액티비티,눈썰매장,35.96579259316725,-4.190795991304347,27.612957819037366,0.06947731812725093,27.737799590542306,0.005383396361909256,25.12811091156554,0.0849493947632827,2023-07-13,
50007281,여가/생활편의,국내여행/체험,액티비티,래프팅,26.287828766560228,1.9969521956521723,28.045160837793766,-1.1182292902761106,23.72658410152086,0.04830764926406972,20.441423548775912,0.10883362872421687,2023-07-13,
50007283,여가/생활편의,국내여행/체험,액티비티,수상레저,23.22987155016818,2.6172657094017104,24.900245878485034,-0.669994249978656,21.832336602744608,0.0815862996906007,19.917803412049057,0.1392271709630004,2023-07-13,
50007275,여가/생활편의,국내여행/체험,액티비티,스키/보드 리프트권,37.38586252736597,-3.980925039316239,31.044252019219904,0.12314254588918307,24.271084004372522,0.15091033729862374,20.509183498282198,0.13829073543961692,2023-07-13,
50007276,여가/생활편의,국내여행/체험,액티비티,스키/보드 시즌권,31.298819954799143,-3.606401013043477,31.52912845279118,-0.9026122165666272,22.945152279752826,-0.24371077415451428,20.162926153105218,0.024547192915876006,2023-07-13,
50007282,여가/생활편의,국내여행/체험,액티비티,스파/찜질방,24.900740255501912,-2.2220646565217397,22.211238622707473,-0.1823379063625449,24.45935879435256,0.5493497069284314,24.183124560113523,0.4120896679399031,2023-07-13,
50007279,여가/생활편의,국내여행/체험,액티비티,아쿠아리움,12.75310900190828,0.02720676581196635,14.387010020769056,-0.42404658925979644,16.550715511822613,-0.316656367545076,18.495674552457977,0.06735720262047386,2023-07-13,
50007278,여가/생활편의,국내여행/체험,액티비티,워터파크,22.041784555857685,1.9716607282051288,25.87391180645394,-0.15031100657389207,22.517219989135278,0.19231540707350903,20.80919799373235,0.17912358766259426,2023-07-13,
50007285,여가/생활편의,국내여행/체험,액티비티,체험,9.760210213859805,0.1674395316239321,13.312765859080239,-0.2653107466063347,13.49368556661784,0.1438946837725383,20.349206970521053,0.35017323416731205,2023-07-13,
50007280,여가/생활편의,국내여행/체험,액티비티,테마/놀이동산,13.61022739263156,-0.9856627692307681,13.993874919982115,-0.007281319047211979,15.038577328144592,-0.010557940734023257,19.365891233742985,0.25154212979089946,2023-07-13,
